epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6971,0.57185,0.37146,0.89756,0.91618,0.78641,0.83989,0.45648,1.6848,1.12551,1.73986,0.0674766,1.62698e-05,1.62698e-05
2,27.3667,0.57288,0.38868,0.89836,0.91992,0.78076,0.84214,0.45563,1.69841,1.13584,1.75062,0.0341597,3.27191e-05,3.27191e-05
3,38.8547,0.55074,0.37075,0.90187,0.92151,0.7767,0.84057,0.45045,1.69976,1.13629,1.75874,0.000842599,4.89484e-05,4.89484e-05
4,50.3329,0.56579,0.35991,0.90017,0.94104,0.77478,0.84088,0.4514,1.6968,1.14819,1.75482,4.901e-05,4.901e-05,4.901e-05
5,62.4907,0.55319,0.36965,0.89215,0.94095,0.77357,0.83984,0.45278,1.69689,1.13082,1.75344,4.868e-05,4.868e-05,4.868e-05
6,73.7224,0.55444,0.35875,0.90168,0.94109,0.77554,0.83783,0.45094,1.69519,1.13683,1.75167,4.835e-05,4.835e-05,4.835e-05
7,85.8074,0.5792,0.37785,0.90034,0.94101,0.77443,0.83866,0.45195,1.70241,1.13869,1.76147,4.802e-05,4.802e-05,4.802e-05
8,97.7422,0.54252,0.36333,0.89962,0.941,0.77429,0.8367,0.44999,1.69395,1.12533,1.7532,4.769e-05,4.769e-05,4.769e-05
9,109.509,0.5332,0.32774,0.8839,0.93886,0.7767,0.83518,0.44537,1.69886,1.13634,1.7571,4.736e-05,4.736e-05,4.736e-05
10,121.46,0.54339,0.3538,0.8899,0.94105,0.77495,0.83504,0.44545,1.70163,1.14575,1.7572,4.703e-05,4.703e-05,4.703e-05
11,132.413,0.55215,0.36801,0.88918,0.94087,0.7767,0.834,0.44742,1.69467,1.11872,1.74895,4.67e-05,4.67e-05,4.67e-05
12,144.011,0.54739,0.36095,0.9055,0.93997,0.7767,0.83308,0.44271,1.69797,1.10976,1.75237,4.637e-05,4.637e-05,4.637e-05
13,155.457,0.57084,0.36896,0.89956,0.94115,0.77627,0.83563,0.44578,1.69091,1.13322,1.74782,4.604e-05,4.604e-05,4.604e-05
14,167.599,0.51873,0.33137,0.87917,0.94118,0.77669,0.83469,0.4514,1.69531,1.14864,1.74878,4.571e-05,4.571e-05,4.571e-05
15,179.342,0.55667,0.35592,0.89926,0.94108,0.77537,0.83469,0.44919,1.69038,1.13334,1.74709,4.538e-05,4.538e-05,4.538e-05
16,189.908,0.54729,0.36245,0.88788,0.94113,0.77612,0.83528,0.45093,1.6986,1.13181,1.75463,4.505e-05,4.505e-05,4.505e-05
17,202.029,0.5114,0.32842,0.8771,0.9411,0.77566,0.83452,0.44784,1.69568,1.12235,1.75608,4.472e-05,4.472e-05,4.472e-05
18,212.973,0.53397,0.34992,0.88177,0.94111,0.77578,0.83513,0.44902,1.68883,1.11894,1.75116,4.439e-05,4.439e-05,4.439e-05
19,224.074,0.5457,0.3501,0.89455,0.93826,0.7767,0.83604,0.44662,1.69737,1.1219,1.75484,4.406e-05,4.406e-05,4.406e-05
20,234.346,0.51743,0.32975,0.87899,0.93346,0.7767,0.8361,0.44886,1.70175,1.13349,1.75807,4.373e-05,4.373e-05,4.373e-05
21,245.491,0.52406,0.33082,0.88953,0.93738,0.7767,0.8375,0.45372,1.69938,1.13301,1.75789,4.34e-05,4.34e-05,4.34e-05
22,256.803,0.54659,0.36676,0.89431,0.93799,0.7767,0.83753,0.45392,1.68989,1.13904,1.75293,4.307e-05,4.307e-05,4.307e-05
23,268.301,0.56378,0.37464,0.9097,0.93748,0.7767,0.8364,0.45351,1.69113,1.14164,1.75769,4.274e-05,4.274e-05,4.274e-05
24,279.312,0.54177,0.33497,0.88562,0.9348,0.7767,0.83644,0.45471,1.68557,1.15013,1.75426,4.241e-05,4.241e-05,4.241e-05
25,289.503,0.52481,0.32691,0.87981,0.94161,0.7829,0.83539,0.44713,1.69028,1.14164,1.75126,4.208e-05,4.208e-05,4.208e-05
26,301.953,0.53182,0.33314,0.87764,0.94158,0.78241,0.83562,0.45216,1.68987,1.14921,1.75371,4.175e-05,4.175e-05,4.175e-05
27,312.489,0.52776,0.32449,0.88178,0.94155,0.78196,0.83304,0.45116,1.67785,1.14711,1.75122,4.142e-05,4.142e-05,4.142e-05
28,324.14,0.53767,0.3488,0.88786,0.94168,0.78386,0.83552,0.4498,1.67934,1.15037,1.75003,4.109e-05,4.109e-05,4.109e-05
29,335.803,0.53003,0.33934,0.8936,0.94166,0.78352,0.83403,0.44851,1.68186,1.14409,1.75264,4.076e-05,4.076e-05,4.076e-05
30,346.926,0.54266,0.35237,0.89998,0.93074,0.78287,0.83296,0.44984,1.6804,1.13121,1.7549,4.043e-05,4.043e-05,4.043e-05
31,357.629,0.55674,0.36109,0.9015,0.93045,0.77931,0.83371,0.44938,1.68566,1.13486,1.75189,4.01e-05,4.01e-05,4.01e-05
32,370.191,0.5279,0.33761,0.88462,0.93073,0.7827,0.83102,0.44761,1.68485,1.13908,1.75021,3.977e-05,3.977e-05,3.977e-05
