epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8992,2.35705,8.24234,2.12735,0.55619,0.46602,0.46836,0.16314,1.55412,1.95433,1.6284,0.0690873,0.00162698,0.00162698
2,28.3818,1.821,1.86041,1.67682,0.75471,0.57282,0.63952,0.28799,1.72829,1.31894,1.57809,0.0374043,0.00327735,0.00327735
3,39.2339,1.66578,1.67931,1.5354,0.62452,0.61165,0.57239,0.25167,1.82102,1.68691,1.64482,0.00570486,0.00491121,0.00491121
4,50.9018,1.67206,1.65971,1.53741,0.74774,0.48928,0.58296,0.26022,1.90816,1.69255,1.60355,0.00492575,0.00492575,0.00492575
5,63.2769,1.65644,1.58938,1.49715,0.79643,0.53179,0.64318,0.28982,1.69554,1.80455,1.50809,0.004901,0.004901,0.004901
6,74.9687,1.65632,1.51282,1.51853,0.68637,0.66019,0.63521,0.2921,1.72624,1.49938,1.57506,0.00487625,0.00487625,0.00487625
7,87.0903,1.68479,1.5491,1.5196,0.68611,0.56311,0.5845,0.25563,1.6816,1.53037,1.59508,0.0048515,0.0048515,0.0048515
8,98.6115,1.56459,1.46055,1.44967,0.72614,0.59223,0.60244,0.28521,1.67075,1.51536,1.55602,0.00482675,0.00482675,0.00482675
9,110.312,1.55258,1.34682,1.42359,0.77573,0.61165,0.64444,0.27422,1.89816,1.33444,1.58008,0.004802,0.004802,0.004802
10,121.897,1.57036,1.38087,1.42766,0.80798,0.63107,0.70406,0.3205,1.74081,1.3394,1.48932,0.00477725,0.00477725,0.00477725
11,132.081,1.46967,1.29414,1.3693,0.79321,0.61165,0.67227,0.31591,1.87947,1.33806,1.65067,0.0047525,0.0047525,0.0047525
12,143.416,1.50797,1.26909,1.38666,0.87323,0.60194,0.70006,0.32667,1.82425,1.2872,1.69781,0.00472775,0.00472775,0.00472775
13,155.284,1.51764,1.32525,1.39756,0.85246,0.56096,0.65182,0.29388,2.09589,1.46405,1.72967,0.004703,0.004703,0.004703
14,166.835,1.43844,1.14913,1.33109,0.75832,0.65049,0.63051,0.29246,1.90256,1.40216,1.7443,0.00467825,0.00467825,0.00467825
