epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6954,2.35705,8.24234,2.12735,0.55619,0.46602,0.46836,0.16314,1.55412,1.95433,1.6284,0.0690873,0.00162698,0.00162698
2,28.3344,1.81189,1.8823,1.68378,0.75003,0.64087,0.63268,0.26175,1.78071,1.39294,1.60745,0.0374098,0.00328278,0.00328278
3,38.9335,1.62525,1.68128,1.51608,0.8452,0.58312,0.64841,0.30769,1.63929,1.3089,1.44249,0.00572123,0.00492758,0.00492758
4,50.942,1.64784,1.61838,1.46162,0.59862,0.64078,0.49813,0.2421,1.71192,1.62842,1.45943,0.0049505,0.0049505,0.0049505
5,63.5696,1.67577,1.5818,1.491,0.64295,0.57695,0.60282,0.25083,2.08606,2.228,1.77637,0.004934,0.004934,0.004934
6,75.2506,1.60818,1.50603,1.47431,0.81455,0.63965,0.70746,0.3263,1.90524,1.46941,1.59321,0.0049175,0.0049175,0.0049175
7,87.6796,1.6654,1.55801,1.48358,0.75537,0.60194,0.62867,0.27548,1.71553,1.54708,1.51872,0.004901,0.004901,0.004901
8,99.1662,1.5969,1.45996,1.43475,0.68356,0.52427,0.58971,0.23974,1.76217,1.5409,1.51686,0.0048845,0.0048845,0.0048845
9,110.567,1.4844,1.32972,1.35895,0.85183,0.63107,0.70274,0.35304,1.75244,1.29649,1.52272,0.004868,0.004868,0.004868
10,122.675,1.53837,1.32335,1.39446,0.85011,0.62136,0.70238,0.32372,1.76444,1.22112,1.52636,0.0048515,0.0048515,0.0048515
11,133.968,1.47223,1.29564,1.37409,0.72006,0.52443,0.59314,0.27048,1.86547,1.8368,1.59799,0.004835,0.004835,0.004835
12,145.767,1.49085,1.27346,1.37636,0.8369,0.63107,0.68921,0.3394,1.77962,1.35872,1.61119,0.0048185,0.0048185,0.0048185
13,157.007,1.54718,1.28405,1.4035,0.8524,0.61681,0.66777,0.33563,1.7362,1.23237,1.50437,0.004802,0.004802,0.004802
14,168.274,1.46491,1.15007,1.33427,0.68251,0.6699,0.61615,0.25455,1.69661,1.50695,1.59562,0.0047855,0.0047855,0.0047855
