epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.4951,1.43663,1.89037,1.57458,0.79463,0.80977,0.85928,0.56516,1.20112,0.86759,1.30768,0.0702041,0.00331066,0.00331066
2,119.716,1.32839,1.26789,1.46824,0.82504,0.72751,0.83223,0.52926,1.3112,1.05237,1.42145,0.0402035,0.00664343,0.00664343
3,178.082,1.46662,1.45382,1.56382,0.51823,0.37193,0.40643,0.2161,1.93956,3.65973,2.10082,0.0102007,0.00997395,0.00997395
4,236.653,1.68963,1.80696,1.74754,0.65794,0.42545,0.51228,0.28465,1.75566,3.65027,1.87858,0.00999239,0.00999239,0.00999239
5,295.405,1.64732,1.72185,1.71541,0.63705,0.43702,0.49792,0.26918,1.8433,2.62766,1.87322,0.00998648,0.00998648,0.00998648
6,353.833,1.58234,1.62352,1.66685,0.49342,0.33419,0.35646,0.2051,2.00598,2.41809,2.0463,0.00997888,0.00997888,0.00997888
7,412.624,1.55209,1.5624,1.6446,0.78311,0.62853,0.71161,0.42457,1.48008,1.40433,1.58788,0.0099696,0.0099696,0.0099696
8,471.091,1.51001,1.46871,1.60608,0.81553,0.71465,0.82052,0.49981,1.40514,1.27973,1.53448,0.00995864,0.00995864,0.00995864
9,529.703,1.47212,1.42171,1.57144,0.8433,0.69409,0.80861,0.51561,1.39722,1.11656,1.49631,0.009946,0.009946,0.009946
10,588.156,1.43123,1.34858,1.5383,0.84182,0.69773,0.81858,0.51433,1.40796,1.06928,1.50727,0.00993169,0.00993169,0.00993169
11,646.736,1.4228,1.32279,1.53537,0.83626,0.74807,0.84031,0.54524,1.33663,1.00573,1.45364,0.00991572,0.00991572,0.00991572
12,705.172,1.38352,1.28194,1.50813,0.87147,0.72494,0.84195,0.53923,1.33172,1.04377,1.45343,0.00989808,0.00989808,0.00989808
13,763.656,1.35862,1.23849,1.50049,0.8858,0.7635,0.87312,0.56913,1.32691,0.91435,1.46637,0.00987878,0.00987878,0.00987878
14,822.284,1.33288,1.1835,1.46955,0.86827,0.78787,0.88539,0.57885,1.25746,0.89111,1.4042,0.00985784,0.00985784,0.00985784
15,880.9,1.31614,1.16058,1.46956,0.82054,0.73136,0.8328,0.53698,1.30897,0.94142,1.42538,0.00983526,0.00983526,0.00983526
16,939.168,1.30536,1.1319,1.44152,0.87104,0.75193,0.87344,0.58379,1.26532,0.88197,1.38413,0.00981104,0.00981104,0.00981104
