epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0802,2.35705,8.24234,2.12735,0.55619,0.46602,0.46836,0.16314,1.55412,1.95433,1.6284,0.0690873,0.00162698,0.00162698
2,27.5639,1.81189,1.8823,1.68378,0.75003,0.64087,0.63268,0.26175,1.78071,1.39294,1.60745,0.0374098,0.00328278,0.00328278
3,39.1828,1.62525,1.68128,1.51608,0.8452,0.58312,0.64841,0.30769,1.63929,1.3089,1.44249,0.00572123,0.00492758,0.00492758
4,50.2004,1.64784,1.61838,1.46162,0.59862,0.64078,0.49813,0.2421,1.71192,1.62842,1.45943,0.0049505,0.0049505,0.0049505
5,61.9978,1.67577,1.5818,1.491,0.64295,0.57695,0.60282,0.25083,2.08606,2.228,1.77637,0.004934,0.004934,0.004934
6,73.5716,1.60818,1.50603,1.47431,0.81455,0.63965,0.70746,0.3263,1.90524,1.46941,1.59321,0.0049175,0.0049175,0.0049175
7,84.6186,1.6654,1.55801,1.48358,0.75537,0.60194,0.62867,0.27548,1.71553,1.54708,1.51872,0.004901,0.004901,0.004901
8,96.1463,1.5969,1.45996,1.43475,0.68356,0.52427,0.58971,0.23974,1.76217,1.5409,1.51686,0.0048845,0.0048845,0.0048845
9,107.582,1.4844,1.32972,1.35895,0.85183,0.63107,0.70274,0.35304,1.75244,1.29649,1.52272,0.004868,0.004868,0.004868
10,118.993,1.53837,1.32335,1.39446,0.85011,0.62136,0.70238,0.32372,1.76444,1.22112,1.52636,0.0048515,0.0048515,0.0048515
11,129.748,1.47223,1.29564,1.37409,0.72006,0.52443,0.59314,0.27048,1.86547,1.8368,1.59799,0.004835,0.004835,0.004835
12,142.089,1.49085,1.27346,1.37636,0.8369,0.63107,0.68921,0.3394,1.77962,1.35872,1.61119,0.0048185,0.0048185,0.0048185
13,153.754,1.54718,1.28405,1.4035,0.8524,0.61681,0.66777,0.33563,1.7362,1.23237,1.50437,0.004802,0.004802,0.004802
14,164.81,1.46491,1.15007,1.33427,0.68251,0.6699,0.61615,0.25455,1.69661,1.50695,1.59562,0.0047855,0.0047855,0.0047855
15,175.796,1.48563,1.20473,1.35772,0.77229,0.64078,0.6561,0.31114,1.71181,1.27925,1.51218,0.004769,0.004769,0.004769
16,186.727,1.43134,1.20809,1.29919,0.77568,0.60194,0.63249,0.28935,2.02016,1.59528,1.69197,0.0047525,0.0047525,0.0047525
17,199.26,1.38494,1.10696,1.28896,0.84849,0.59814,0.65353,0.29026,1.94521,1.42119,1.58231,0.004736,0.004736,0.004736
18,210.221,1.41815,1.13922,1.3069,0.75498,0.66019,0.68997,0.34011,1.68297,1.25581,1.54411,0.0047195,0.0047195,0.0047195
19,221.541,1.37493,1.13032,1.30769,0.78615,0.67961,0.71351,0.3459,1.76302,1.213,1.54448,0.004703,0.004703,0.004703
20,232.621,1.32601,1.09424,1.27509,0.80442,0.63892,0.66483,0.33415,1.83023,1.26299,1.58575,0.0046865,0.0046865,0.0046865
21,244.455,1.32521,1.04694,1.2647,0.78224,0.64078,0.7055,0.34722,1.74646,1.30916,1.54023,0.00467,0.00467,0.00467
22,256.075,1.34698,1.06038,1.27674,0.82261,0.60194,0.70601,0.33674,1.7085,1.23871,1.53148,0.0046535,0.0046535,0.0046535
23,267.392,1.30954,1.05407,1.26195,0.82691,0.64934,0.68514,0.33675,1.67857,1.28469,1.52044,0.004637,0.004637,0.004637
24,278.489,1.3024,0.98496,1.24039,0.8318,0.6242,0.70387,0.3283,1.81738,1.35582,1.52306,0.0046205,0.0046205,0.0046205
25,289.254,1.29779,0.96634,1.23119,0.71209,0.64838,0.63426,0.28979,1.9791,1.44974,1.63061,0.004604,0.004604,0.004604
26,301.9,1.28333,0.95444,1.20657,0.86679,0.63178,0.72135,0.35615,1.87522,1.13708,1.63497,0.0045875,0.0045875,0.0045875
27,312.778,1.25136,0.94443,1.20432,0.95689,0.64652,0.72472,0.34852,1.75744,1.20092,1.51575,0.004571,0.004571,0.004571
28,323.916,1.27288,0.93006,1.21916,0.80059,0.65049,0.69275,0.31653,1.91038,1.3075,1.69858,0.0045545,0.0045545,0.0045545
29,336.104,1.24441,0.91527,1.20547,0.85804,0.61165,0.7118,0.33077,1.71408,1.12413,1.52272,0.004538,0.004538,0.004538
30,347.094,1.27924,0.96312,1.21827,0.88987,0.65049,0.72696,0.33982,1.75795,1.2874,1.56041,0.0045215,0.0045215,0.0045215
31,358.191,1.2102,0.93927,1.2122,0.76831,0.70832,0.68193,0.31179,1.82242,1.18597,1.60934,0.004505,0.004505,0.004505
32,370.943,1.17944,0.93826,1.18198,0.81305,0.66019,0.67448,0.33036,1.69841,1.29483,1.55369,0.0044885,0.0044885,0.0044885
33,382.233,1.23781,0.90704,1.22007,0.84069,0.66608,0.69017,0.32012,1.84265,1.29761,1.54807,0.004472,0.004472,0.004472
34,394.639,1.19909,0.88193,1.19488,0.75269,0.66019,0.66807,0.30956,1.82348,1.60746,1.58477,0.0044555,0.0044555,0.0044555
35,406.115,1.21321,0.94564,1.19773,0.82915,0.65049,0.71161,0.33979,1.59929,1.28752,1.48838,0.004439,0.004439,0.004439
36,418.575,1.17336,0.85937,1.16272,0.8975,0.68932,0.74047,0.37937,1.74797,1.20713,1.57063,0.0044225,0.0044225,0.0044225
37,429.845,1.20984,0.86395,1.18781,0.77358,0.66344,0.72814,0.36075,1.83939,1.25681,1.62181,0.004406,0.004406,0.004406
38,441.775,1.15832,0.83513,1.17033,0.8092,0.65881,0.67515,0.32565,1.74586,1.37552,1.55945,0.0043895,0.0043895,0.0043895
39,453.015,1.13736,0.79263,1.1499,0.81194,0.69903,0.73784,0.37463,1.68691,1.20348,1.50699,0.004373,0.004373,0.004373
40,464.132,1.11567,0.83891,1.14622,0.80142,0.70531,0.74201,0.3911,1.72944,1.10709,1.52426,0.0043565,0.0043565,0.0043565
41,476.39,1.15664,0.86617,1.17315,0.90033,0.59223,0.69564,0.34153,1.91588,1.31184,1.5873,0.00434,0.00434,0.00434
42,489.396,1.16384,0.8647,1.16582,0.8606,0.65931,0.73548,0.37674,1.75549,1.20802,1.54462,0.0043235,0.0043235,0.0043235
43,500.614,1.12214,0.81054,1.13469,0.76984,0.6699,0.67891,0.31492,1.82381,1.43988,1.66188,0.004307,0.004307,0.004307
44,513.183,1.1483,0.79357,1.14511,0.79412,0.61165,0.67855,0.30809,1.91268,1.35071,1.67772,0.0042905,0.0042905,0.0042905
45,526.006,1.09794,0.77538,1.12244,0.79382,0.69903,0.7191,0.35576,1.72319,1.05296,1.58772,0.004274,0.004274,0.004274
46,537.741,1.12703,0.80663,1.12798,0.81624,0.67961,0.71493,0.32454,1.792,1.21993,1.61982,0.0042575,0.0042575,0.0042575
47,548.844,1.11071,0.75979,1.11515,0.82556,0.71845,0.74127,0.37188,1.7284,1.1369,1.5498,0.004241,0.004241,0.004241
48,560.19,1.09666,0.8016,1.13107,0.86207,0.72818,0.76889,0.36346,1.83787,1.21369,1.61153,0.0042245,0.0042245,0.0042245
49,571.354,1.11792,0.81374,1.13848,0.8245,0.69903,0.71171,0.34072,1.8353,1.23569,1.57637,0.004208,0.004208,0.004208
50,583.049,1.07014,0.80192,1.11279,0.80048,0.6622,0.71747,0.33487,1.93195,1.49528,1.68813,0.0041915,0.0041915,0.0041915
51,596.028,1.08228,0.75797,1.11361,0.82263,0.67961,0.71534,0.34674,1.906,1.36852,1.66395,0.004175,0.004175,0.004175
52,607.581,1.06608,0.75514,1.1037,0.85201,0.61488,0.7215,0.3464,1.86692,1.26169,1.60191,0.0041585,0.0041585,0.0041585
53,619.096,1.10512,0.76406,1.10835,0.90662,0.65984,0.73346,0.35722,1.82116,1.10152,1.61368,0.004142,0.004142,0.004142
54,629.937,1.05078,0.74533,1.0918,0.77884,0.6699,0.73642,0.33313,1.919,1.19617,1.67133,0.0041255,0.0041255,0.0041255
