epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,653.802,1.13133,0.88752,1.23895,0.8764,0.69903,0.73172,0.37668,1.63408,1.15574,1.48332,0.0039605,0.0039605,0.0039605
44,668.594,1.08308,0.85695,1.21588,0.86184,0.66624,0.73866,0.39129,1.60659,1.0061,1.46994,0.00393575,0.00393575,0.00393575
45,683.394,1.13449,0.87133,1.24071,0.8244,0.78641,0.78507,0.3802,1.7111,1.00939,1.52799,0.003911,0.003911,0.003911
46,699.338,1.1025,0.84761,1.21506,0.89888,0.72816,0.78149,0.40601,1.60614,1.05541,1.44441,0.00388625,0.00388625,0.00388625
47,715.26,1.12839,0.85815,1.2289,0.95528,0.71845,0.80559,0.42724,1.64452,0.97234,1.5247,0.0038615,0.0038615,0.0038615
48,730.776,1.08818,0.83858,1.21995,0.81678,0.75728,0.74058,0.37689,1.70121,1.03613,1.52486,0.00383675,0.00383675,0.00383675
49,745.848,1.07323,0.82807,1.21684,0.8994,0.69903,0.7783,0.40257,1.65758,1.03277,1.51603,0.003812,0.003812,0.003812
50,760.257,1.10348,0.84421,1.21074,0.88981,0.70563,0.73985,0.34822,1.68108,1.11752,1.55247,0.00378725,0.00378725,0.00378725
51,776.287,1.08116,0.83381,1.21563,0.83624,0.7767,0.77877,0.41253,1.77652,0.90281,1.66756,0.0037625,0.0037625,0.0037625
52,792.294,1.06362,0.81636,1.21137,0.91917,0.70874,0.81299,0.42343,1.61043,1.07315,1.50835,0.00373775,0.00373775,0.00373775
53,807.691,1.03604,0.80734,1.18383,0.89543,0.74821,0.78619,0.40862,1.59589,0.93082,1.53546,0.003713,0.003713,0.003713
54,823.653,1.04945,0.82225,1.19389,0.91037,0.6699,0.74612,0.40734,1.57952,1.03096,1.54617,0.00368825,0.00368825,0.00368825
55,838.713,1.03036,0.78222,1.1809,0.87306,0.73457,0.78193,0.40776,1.55594,0.93977,1.51571,0.0036635,0.0036635,0.0036635
56,853.892,1.03141,0.78931,1.19092,0.89603,0.66935,0.77407,0.39032,1.61279,0.99407,1.51554,0.00363875,0.00363875,0.00363875
57,868.603,1.0239,0.77723,1.17653,0.86519,0.68542,0.73467,0.36526,1.69005,1.02159,1.5818,0.003614,0.003614,0.003614
58,884.046,1.05099,0.79771,1.19633,0.80387,0.66019,0.7127,0.3993,1.59539,1.09518,1.54816,0.00358925,0.00358925,0.00358925
59,898.526,1.04052,0.79057,1.18339,0.76693,0.73786,0.72775,0.39109,1.64088,0.98173,1.57077,0.0035645,0.0035645,0.0035645
60,913.774,1.02681,0.78451,1.18416,0.89988,0.69903,0.76582,0.40439,1.64806,0.90928,1.54871,0.00353975,0.00353975,0.00353975
61,929.59,1.00997,0.79046,1.16024,0.84937,0.71845,0.76915,0.38999,1.60401,1.0783,1.53984,0.003515,0.003515,0.003515
62,944.116,0.99689,0.73367,1.15844,0.82118,0.71339,0.71999,0.36946,1.71309,1.09749,1.59914,0.00349025,0.00349025,0.00349025
63,959.704,0.99254,0.75947,1.15676,0.85409,0.69903,0.73896,0.39927,1.68036,1.0486,1.59059,0.0034655,0.0034655,0.0034655
64,974.989,0.99163,0.73304,1.14825,0.8549,0.68642,0.72041,0.36552,1.78012,1.11082,1.64009,0.00344075,0.00344075,0.00344075
65,989.952,0.98815,0.73428,1.14777,0.905,0.69903,0.75681,0.40606,1.66748,1.02677,1.54976,0.003416,0.003416,0.003416
66,1005.38,1.00179,0.77137,1.1707,0.88352,0.69903,0.75135,0.40443,1.64766,0.98998,1.60586,0.00339125,0.00339125,0.00339125
67,1021.45,0.98066,0.73583,1.14289,0.90699,0.73786,0.76614,0.42909,1.60281,1.01251,1.50165,0.0033665,0.0033665,0.0033665
68,1036.48,0.97027,0.71104,1.14347,0.8542,0.70874,0.73724,0.3915,1.59891,1.11585,1.55609,0.00334175,0.00334175,0.00334175
69,1050.72,0.98201,0.7363,1.15182,0.89222,0.73786,0.75865,0.39945,1.57493,0.98487,1.54891,0.003317,0.003317,0.003317
70,1065.44,0.98438,0.72404,1.13824,0.85749,0.74757,0.76501,0.39995,1.64495,1.02721,1.55237,0.00329225,0.00329225,0.00329225
71,1079.59,0.97028,0.74649,1.15409,0.87423,0.75728,0.7935,0.4225,1.59664,1.00668,1.52613,0.0032675,0.0032675,0.0032675
72,1095.27,0.9398,0.70567,1.11842,0.9023,0.70874,0.78893,0.43197,1.63721,1.03464,1.56086,0.00324275,0.00324275,0.00324275
73,1110.29,0.96109,0.7197,1.1324,0.91506,0.73221,0.79561,0.42026,1.55443,0.95237,1.50855,0.003218,0.003218,0.003218
74,1125.42,0.96401,0.74011,1.1352,0.88523,0.71845,0.78441,0.40635,1.60306,0.98306,1.525,0.00319325,0.00319325,0.00319325
75,1140.62,0.93966,0.71631,1.12293,0.86598,0.75285,0.79322,0.43308,1.58304,0.98168,1.5287,0.0031685,0.0031685,0.0031685
76,1156,0.9431,0.70042,1.12887,0.8275,0.74518,0.77035,0.38792,1.68788,1.04578,1.59967,0.00314375,0.00314375,0.00314375
77,1170.79,0.92774,0.68648,1.11741,0.85574,0.74869,0.79102,0.3964,1.62386,1.02278,1.57686,0.003119,0.003119,0.003119
78,1186.73,0.93207,0.69264,1.11255,0.88545,0.7505,0.77469,0.41452,1.58557,0.97817,1.56594,0.00309425,0.00309425,0.00309425
79,1201.25,0.92162,0.67907,1.11135,0.87432,0.73786,0.7826,0.41892,1.63474,1.08398,1.59458,0.0030695,0.0030695,0.0030695
80,1215.91,0.91189,0.6688,1.09812,0.84595,0.74641,0.74981,0.40187,1.61524,1.14006,1.60793,0.00304475,0.00304475,0.00304475
81,1230.6,0.91555,0.68564,1.11449,0.9436,0.69903,0.76397,0.41024,1.59723,1.13099,1.61998,0.00302,0.00302,0.00302
82,1245.86,0.88209,0.6556,1.09971,0.91935,0.74757,0.79497,0.43612,1.56087,0.98849,1.5507,0.00299525,0.00299525,0.00299525
83,1259.94,0.9277,0.7003,1.12605,0.83116,0.73786,0.77606,0.43537,1.6023,1.03878,1.53044,0.0029705,0.0029705,0.0029705
84,1275.87,0.8927,0.65466,1.0975,0.90523,0.66019,0.78833,0.41168,1.7478,1.02931,1.59888,0.00294575,0.00294575,0.00294575
85,1290.85,0.88768,0.65619,1.09192,0.79816,0.72945,0.76992,0.42203,1.65998,1.08102,1.55762,0.002921,0.002921,0.002921
86,1306.02,0.87364,0.6597,1.09184,0.89879,0.72816,0.79508,0.42,1.6393,1.03053,1.59691,0.00289625,0.00289625,0.00289625
87,1320.9,0.8916,0.63937,1.09892,0.92326,0.73786,0.81159,0.43704,1.61291,0.92134,1.56114,0.0028715,0.0028715,0.0028715
88,1335.59,0.88386,0.64576,1.10039,0.93026,0.70874,0.79614,0.41671,1.61652,1.03103,1.56029,0.00284675,0.00284675,0.00284675
89,1351.16,0.90592,0.6746,1.10883,0.88678,0.70874,0.77045,0.40809,1.73425,1.11351,1.70948,0.002822,0.002822,0.002822
