epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4636,2.14151,4.67514,1.93329,0.00203,0.78641,0.00535,0.00229,1.4926,3.6623,1.43396,0.0690873,0.00162698,0.00162698
2,26.7134,1.83942,3.19516,1.6445,0.83326,0.09704,0.47362,0.17374,1.52087,2.92269,1.44149,0.0374043,0.00327735,0.00327735
3,37.5765,1.7769,2.47035,1.65522,0.47435,0.37864,0.36841,0.138,1.78879,2.41651,1.6909,0.00570486,0.00491121,0.00491121
4,48.9479,1.87232,2.49099,1.66647,0.39543,0.30097,0.2903,0.11947,1.81548,2.60304,1.60924,0.00492575,0.00492575,0.00492575
5,61.0506,1.78995,2.3752,1.60214,0.66708,0.41748,0.46219,0.19479,1.88649,2.20916,1.61412,0.004901,0.004901,0.004901
6,72.2869,1.76571,2.29494,1.57943,0.6186,0.47243,0.50213,0.19667,1.95259,2.28813,1.70925,0.00487625,0.00487625,0.00487625
7,84.7422,1.80726,2.28562,1.58844,0.62304,0.51351,0.49205,0.18582,1.92041,2.70191,1.72841,0.0048515,0.0048515,0.0048515
8,96.4054,1.72925,2.11575,1.56482,0.48732,0.51681,0.48796,0.18081,1.92455,2.01674,1.71924,0.00482675,0.00482675,0.00482675
9,107.766,1.66324,1.99285,1.51189,0.61847,0.40777,0.43638,0.1696,1.95132,2.13521,1.72467,0.004802,0.004802,0.004802
10,119.721,1.72676,1.99236,1.55669,0.60014,0.50485,0.54778,0.23784,1.80969,1.75982,1.58185,0.00477725,0.00477725,0.00477725
11,130.413,1.64864,1.97906,1.5375,0.57393,0.56236,0.5216,0.20676,1.89193,1.86528,1.66059,0.0047525,0.0047525,0.0047525
12,142.51,1.66974,1.88999,1.51067,0.70757,0.57282,0.59196,0.24886,1.90098,1.68873,1.64384,0.00472775,0.00472775,0.00472775
13,154.444,1.66385,1.86838,1.52027,0.76037,0.58252,0.63127,0.28783,1.96747,1.70335,1.62483,0.004703,0.004703,0.004703
14,165.603,1.62708,1.66573,1.46345,0.72674,0.59389,0.59955,0.26945,1.93008,1.51523,1.67522,0.00467825,0.00467825,0.00467825
15,177.293,1.59335,1.6997,1.47945,0.70182,0.57129,0.6328,0.26877,1.89084,1.53178,1.64762,0.0046535,0.0046535,0.0046535
16,187.935,1.61376,1.68703,1.48004,0.59207,0.54958,0.57349,0.22476,1.92555,1.84224,1.67339,0.00462875,0.00462875,0.00462875
17,200.375,1.52395,1.59059,1.42131,0.81531,0.62136,0.65409,0.29729,1.85183,1.59114,1.59575,0.004604,0.004604,0.004604
18,211.317,1.50091,1.58531,1.39423,0.81051,0.57282,0.64001,0.30522,1.91967,1.56645,1.68448,0.00457925,0.00457925,0.00457925
19,222.647,1.51387,1.62038,1.42287,0.67796,0.56311,0.56772,0.26507,1.86141,1.63909,1.6157,0.0045545,0.0045545,0.0045545
20,232.944,1.46371,1.52626,1.385,0.76906,0.58252,0.62993,0.31219,1.66925,1.30264,1.48581,0.00452975,0.00452975,0.00452975
21,244.533,1.47957,1.51988,1.38308,0.81739,0.63107,0.65289,0.30422,1.77522,1.46986,1.56361,0.004505,0.004505,0.004505
22,256.44,1.46724,1.47094,1.36328,0.7716,0.58252,0.65577,0.30561,1.807,1.56088,1.53685,0.00448025,0.00448025,0.00448025
23,267.849,1.48148,1.50356,1.40119,0.73322,0.63107,0.63361,0.30884,1.94924,1.44661,1.74396,0.0044555,0.0044555,0.0044555
24,278.838,1.46905,1.41991,1.38274,0.8434,0.60194,0.68503,0.29995,1.7983,1.51439,1.61412,0.00443075,0.00443075,0.00443075
25,289.395,1.41785,1.37978,1.33446,0.75451,0.62665,0.62271,0.29229,1.96848,1.44022,1.6722,0.004406,0.004406,0.004406
26,301.962,1.41815,1.33326,1.34237,0.79764,0.64078,0.66064,0.3194,1.90774,1.3852,1.68623,0.00438125,0.00438125,0.00438125
27,312.885,1.38691,1.31603,1.30644,0.73488,0.59206,0.58877,0.26225,1.89051,1.47685,1.62683,0.0043565,0.0043565,0.0043565
28,325.155,1.41394,1.32517,1.33805,0.79331,0.6335,0.69451,0.28904,1.96053,1.60378,1.82357,0.00433175,0.00433175,0.00433175
29,336.111,1.37296,1.26735,1.307,0.76974,0.62136,0.66285,0.2929,1.80048,1.34749,1.58558,0.004307,0.004307,0.004307
30,347.243,1.4291,1.3478,1.35436,0.80405,0.55775,0.64718,0.28141,1.81686,1.46814,1.58254,0.00428225,0.00428225,0.00428225
31,358.273,1.34895,1.28469,1.30469,0.84183,0.58252,0.66342,0.28755,1.85685,1.51669,1.66544,0.0042575,0.0042575,0.0042575
32,370.435,1.32951,1.26066,1.28805,0.74525,0.65049,0.64863,0.30496,2.00789,1.43877,1.74683,0.00423275,0.00423275,0.00423275
33,381.617,1.36267,1.2274,1.31873,0.88306,0.58252,0.70796,0.31602,1.78461,1.38717,1.49845,0.004208,0.004208,0.004208
34,393.752,1.33494,1.20586,1.27101,0.77676,0.54054,0.60128,0.25654,2.0491,1.75418,1.66367,0.00418325,0.00418325,0.00418325
35,405.058,1.32489,1.2178,1.28015,0.77069,0.61999,0.64902,0.25583,1.85069,1.68542,1.67464,0.0041585,0.0041585,0.0041585
36,417.256,1.30726,1.15431,1.25055,0.82874,0.58252,0.62638,0.30844,1.91339,1.61167,1.6496,0.00413375,0.00413375,0.00413375
37,428.903,1.34309,1.1769,1.26737,0.76891,0.62136,0.59964,0.30528,1.8811,1.70008,1.6189,0.004109,0.004109,0.004109
38,440.528,1.27416,1.12796,1.23286,0.79573,0.57282,0.60694,0.28749,1.987,1.64782,1.70939,0.00408425,0.00408425,0.00408425
39,452.489,1.25932,1.07677,1.21836,0.76539,0.65049,0.65567,0.30393,1.79859,1.42093,1.61942,0.0040595,0.0040595,0.0040595
40,463.396,1.26067,1.12447,1.23371,0.8295,0.60194,0.64446,0.29388,1.95896,1.57173,1.71869,0.00403475,0.00403475,0.00403475
41,476.424,1.30298,1.18448,1.24893,0.89398,0.46602,0.5389,0.2251,1.91861,1.90136,1.64847,0.00401,0.00401,0.00401
42,489.126,1.29525,1.16486,1.23992,0.73228,0.61165,0.65511,0.26468,2.01089,1.47823,1.66113,0.00398525,0.00398525,0.00398525
43,500.244,1.22863,1.04459,1.19904,0.90275,0.63084,0.68117,0.31511,1.87138,1.24945,1.64812,0.0039605,0.0039605,0.0039605
44,512.483,1.2766,1.06249,1.22831,0.72678,0.6699,0.66876,0.32345,1.81848,1.34822,1.57551,0.00393575,0.00393575,0.00393575
45,524.923,1.21664,1.03173,1.20195,0.81951,0.61165,0.66132,0.30726,2.0081,1.62724,1.68889,0.003911,0.003911,0.003911
46,536.812,1.26114,1.07605,1.22662,0.78128,0.59223,0.68352,0.28215,2.12123,1.56085,1.75597,0.00388625,0.00388625,0.00388625
47,548.093,1.23646,1.00713,1.20389,0.88331,0.58797,0.66964,0.30976,1.88184,1.31614,1.65634,0.0038615,0.0038615,0.0038615
48,560.245,1.2101,1.06067,1.20164,0.83856,0.60194,0.64999,0.27384,1.91806,1.37384,1.70841,0.00383675,0.00383675,0.00383675
49,571.737,1.24681,1.04021,1.21594,0.8519,0.61436,0.63922,0.2999,1.74512,1.3706,1.59178,0.003812,0.003812,0.003812
50,582.162,1.21265,1.01358,1.20206,0.8004,0.66186,0.68676,0.31846,1.8712,1.41399,1.68748,0.00378725,0.00378725,0.00378725
51,594.624,1.18141,0.96556,1.17694,0.89302,0.60194,0.70716,0.34269,1.83806,1.25385,1.62914,0.0037625,0.0037625,0.0037625
52,606.607,1.1861,0.93201,1.18048,0.83106,0.67961,0.72052,0.32574,1.93973,1.37956,1.66784,0.00373775,0.00373775,0.00373775
53,617.55,1.20112,0.98493,1.17096,0.86756,0.65049,0.69743,0.32444,2.02419,1.34776,1.69095,0.003713,0.003713,0.003713
54,628.342,1.13909,0.93564,1.15486,0.7678,0.65049,0.68159,0.29062,2.20603,1.40044,1.86305,0.00368825,0.00368825,0.00368825
55,639.679,1.14359,0.93858,1.15941,0.76916,0.7117,0.71662,0.33632,1.94076,1.30415,1.69631,0.0036635,0.0036635,0.0036635
56,651.12,1.1868,0.99127,1.17874,0.82212,0.58333,0.68222,0.31109,1.85787,1.27683,1.66211,0.00363875,0.00363875,0.00363875
57,663.069,1.18515,0.97809,1.17683,0.84581,0.60194,0.6764,0.28281,1.91592,1.37372,1.68451,0.003614,0.003614,0.003614
58,674.278,1.1597,0.97498,1.15882,0.84568,0.63845,0.67365,0.32609,1.87537,1.26797,1.59463,0.00358925,0.00358925,0.00358925
59,684.517,1.14634,0.94456,1.16429,0.7883,0.64078,0.64069,0.30355,1.90761,1.38457,1.63869,0.0035645,0.0035645,0.0035645
60,695.7,1.12282,0.88944,1.14361,0.87723,0.65049,0.73792,0.33414,1.8086,1.18345,1.58774,0.00353975,0.00353975,0.00353975
61,706.119,1.15441,0.95219,1.15812,0.75779,0.6699,0.68135,0.30012,1.73653,1.31095,1.5222,0.003515,0.003515,0.003515
62,717.069,1.16737,0.97271,1.16463,0.86001,0.64078,0.70684,0.3359,1.85809,1.32251,1.61514,0.00349025,0.00349025,0.00349025
63,727.947,1.13785,0.90934,1.14962,0.91659,0.64078,0.7079,0.35288,1.96127,1.40941,1.76684,0.0034655,0.0034655,0.0034655
64,738.369,1.11584,0.85923,1.13122,0.7984,0.65049,0.67987,0.30634,1.84697,1.30062,1.64088,0.00344075,0.00344075,0.00344075
65,750.358,1.11179,0.88468,1.14042,0.80776,0.69353,0.73303,0.32297,1.84236,1.25348,1.6539,0.003416,0.003416,0.003416
66,761.153,1.10125,0.87882,1.12291,0.85633,0.65049,0.71805,0.33189,1.90174,1.26561,1.70506,0.00339125,0.00339125,0.00339125
67,772.349,1.05067,0.85732,1.10977,0.86602,0.65049,0.73704,0.3276,1.86839,1.18347,1.63374,0.0033665,0.0033665,0.0033665
68,782.905,1.1099,0.88698,1.1294,0.87999,0.6407,0.7231,0.33434,1.78361,1.50496,1.61252,0.00334175,0.00334175,0.00334175
69,794.156,1.10219,0.90543,1.13616,0.88299,0.63107,0.70309,0.33259,1.76899,1.21772,1.56789,0.003317,0.003317,0.003317
70,805.324,1.045,0.78568,1.08681,0.85669,0.66019,0.69614,0.31079,1.78354,1.22295,1.58988,0.00329225,0.00329225,0.00329225
71,816.746,1.05565,0.85906,1.11078,0.78001,0.70874,0.72354,0.33144,1.71904,1.33883,1.57221,0.0032675,0.0032675,0.0032675
72,828.761,1.08615,0.85772,1.11961,0.80544,0.64308,0.6898,0.36365,1.68092,1.26125,1.58001,0.00324275,0.00324275,0.00324275
73,839.858,1.06329,0.81302,1.09796,0.91224,0.5534,0.69145,0.30644,1.92505,1.53681,1.7602,0.003218,0.003218,0.003218
74,851.932,1.08326,0.82952,1.11974,0.74837,0.64078,0.69988,0.31623,1.90441,1.25239,1.71792,0.00319325,0.00319325,0.00319325
75,863.92,1.0323,0.80925,1.08571,0.89749,0.66019,0.72321,0.35857,1.79475,1.12039,1.63455,0.0031685,0.0031685,0.0031685
76,875.274,1.07417,0.8851,1.11275,0.78881,0.72528,0.74416,0.37168,1.83035,1.17045,1.6542,0.00314375,0.00314375,0.00314375
77,886.682,1.01835,0.8561,1.08947,0.86626,0.62136,0.70572,0.31394,1.87014,1.22045,1.60241,0.003119,0.003119,0.003119
78,898.645,1.03894,0.81517,1.09611,0.85448,0.6699,0.72041,0.32196,1.86293,1.2918,1.60136,0.00309425,0.00309425,0.00309425
79,909.618,1.06843,0.83922,1.12177,0.75858,0.70167,0.73616,0.3397,1.98026,1.22692,1.7482,0.0030695,0.0030695,0.0030695
80,920.979,1.05487,0.844,1.10472,0.88595,0.66019,0.73763,0.34576,1.90327,1.39063,1.689,0.00304475,0.00304475,0.00304475
81,931.914,1.01524,0.78735,1.07726,0.91425,0.62111,0.72062,0.32837,1.92949,1.48481,1.73541,0.00302,0.00302,0.00302
82,942.71,0.97919,0.74627,1.06261,0.88499,0.67961,0.76717,0.35264,1.82073,1.20179,1.6743,0.00299525,0.00299525,0.00299525
83,953.9,1.04853,0.79929,1.09981,0.94354,0.64078,0.75103,0.34978,1.81422,1.11946,1.59963,0.0029705,0.0029705,0.0029705
84,964.993,1.01097,0.76284,1.06359,0.83337,0.67977,0.73571,0.33572,1.80598,1.12485,1.63537,0.00294575,0.00294575,0.00294575
85,976.555,1.0297,0.84656,1.0918,0.93795,0.63107,0.73208,0.33085,1.77252,1.24027,1.66682,0.002921,0.002921,0.002921
86,987.746,1.00933,0.75866,1.06867,0.94731,0.56311,0.70063,0.31661,1.94666,1.57047,1.70861,0.00289625,0.00289625,0.00289625
87,999.162,0.98906,0.75009,1.04861,0.81945,0.64078,0.69098,0.34249,1.91789,1.23812,1.67838,0.0028715,0.0028715,0.0028715
88,1011.53,1.01461,0.79614,1.06323,0.77998,0.66019,0.67905,0.31534,1.86677,1.24662,1.70135,0.00284675,0.00284675,0.00284675
89,1022.31,1.00507,0.77404,1.07713,0.8561,0.67961,0.74691,0.33895,1.89109,1.40006,1.70095,0.002822,0.002822,0.002822
90,1032.91,0.99628,0.7243,1.07128,0.90669,0.66038,0.75104,0.33942,1.93976,1.33573,1.71692,0.00279725,0.00279725,0.00279725
91,1043.55,0.97408,0.71189,1.05698,0.91758,0.64858,0.73765,0.32901,1.93069,1.28824,1.73777,0.0027725,0.0027725,0.0027725
92,1055.14,0.99654,0.74441,1.06036,0.89523,0.64078,0.74849,0.34045,1.87628,1.23449,1.72496,0.00274775,0.00274775,0.00274775
93,1066.14,0.99876,0.74687,1.06948,0.81071,0.66535,0.72127,0.34495,1.8185,1.47082,1.62085,0.002723,0.002723,0.002723
94,1077.38,0.9855,0.7587,1.07712,0.86531,0.64078,0.72061,0.3416,1.89349,1.45589,1.67773,0.00269825,0.00269825,0.00269825
95,1088.06,0.91062,0.65092,1.03289,0.86984,0.64885,0.72714,0.35931,1.90894,1.35037,1.76359,0.0026735,0.0026735,0.0026735
96,1098.85,0.92907,0.70588,1.0411,0.898,0.61165,0.69093,0.30956,1.88469,1.45221,1.73027,0.00264875,0.00264875,0.00264875
97,1109.53,0.95474,0.72521,1.0522,0.85138,0.6699,0.69741,0.31131,1.95317,1.44638,1.71022,0.002624,0.002624,0.002624
98,1121.73,1.02679,0.74756,1.07928,0.85491,0.70874,0.73277,0.3551,1.78101,1.08727,1.64167,0.00259925,0.00259925,0.00259925
99,1133.25,0.95267,0.73406,1.05188,0.89001,0.71845,0.76101,0.36576,1.78344,1.02129,1.59373,0.0025745,0.0025745,0.0025745
100,1144.86,0.95137,0.67638,1.03337,0.85638,0.69472,0.76634,0.3792,1.78406,1.08068,1.59707,0.00254975,0.00254975,0.00254975
101,1156.08,0.9561,0.69659,1.03634,0.94075,0.61165,0.73551,0.35722,1.74278,1.14395,1.57731,0.002525,0.002525,0.002525
102,1167.77,0.9441,0.73306,1.04788,0.78438,0.72816,0.74393,0.34225,1.76359,1.20598,1.59517,0.00250025,0.00250025,0.00250025
103,1178.6,0.91703,0.66704,1.02437,0.87531,0.57282,0.69551,0.32127,1.78143,1.3806,1.59709,0.0024755,0.0024755,0.0024755
104,1190.24,0.90984,0.6531,1.02129,0.84947,0.64078,0.72651,0.34404,1.8387,1.16614,1.62512,0.00245075,0.00245075,0.00245075
105,1201.38,0.92078,0.69991,1.04094,0.83416,0.70874,0.76777,0.35421,1.82133,1.12038,1.61765,0.002426,0.002426,0.002426
106,1213.98,0.92541,0.69318,1.03823,0.86461,0.68203,0.74139,0.32461,1.87443,1.32058,1.7273,0.00240125,0.00240125,0.00240125
107,1225.76,0.91829,0.67743,1.03092,0.84927,0.67961,0.69402,0.3089,1.89399,1.28824,1.68458,0.0023765,0.0023765,0.0023765
108,1237.37,0.92032,0.7095,1.03387,0.85328,0.67758,0.76135,0.35929,1.84761,1.14352,1.60795,0.00235175,0.00235175,0.00235175
109,1249.39,0.88294,0.64818,1.02156,0.85827,0.64673,0.72868,0.3706,1.77806,1.3489,1.59347,0.002327,0.002327,0.002327
110,1259.98,0.90091,0.69085,1.02921,0.8095,0.66019,0.70478,0.34933,1.82619,1.39168,1.60804,0.00230225,0.00230225,0.00230225
111,1273.11,0.89129,0.65546,1.02327,0.83694,0.65049,0.73603,0.34823,1.87606,1.30796,1.69217,0.0022775,0.0022775,0.0022775
112,1284.23,0.92659,0.68592,1.04187,0.84788,0.65049,0.75603,0.36074,1.87191,1.30244,1.72703,0.00225275,0.00225275,0.00225275
113,1294.89,0.90551,0.66859,1.0346,0.86087,0.66081,0.73519,0.34793,1.82367,1.18057,1.64114,0.002228,0.002228,0.002228
114,1306.51,0.87882,0.65831,1.01044,0.84061,0.65049,0.73999,0.3536,1.79684,1.17754,1.65308,0.00220325,0.00220325,0.00220325
115,1317.31,0.88886,0.65067,1.01909,0.73564,0.70874,0.71541,0.34173,1.9033,1.25498,1.74799,0.0021785,0.0021785,0.0021785
116,1329.67,0.88276,0.64362,1.02051,0.79789,0.70874,0.73906,0.34703,1.91479,1.33044,1.80891,0.00215375,0.00215375,0.00215375
117,1341.85,0.90401,0.67324,1.03106,0.89648,0.63107,0.75459,0.34729,1.88881,1.30542,1.75843,0.002129,0.002129,0.002129
118,1353.47,0.89317,0.69237,1.02297,0.78306,0.70089,0.75771,0.35873,1.85693,1.21856,1.72619,0.00210425,0.00210425,0.00210425
119,1365.27,0.9113,0.64533,1.01978,0.85927,0.71845,0.7569,0.36954,1.84618,1.35348,1.66385,0.0020795,0.0020795,0.0020795
120,1376.57,0.87016,0.63235,1.00086,0.8996,0.69595,0.77698,0.36808,1.90355,1.34824,1.72949,0.00205475,0.00205475,0.00205475
121,1388.44,0.89651,0.65548,1.03254,0.90422,0.64078,0.77176,0.3608,1.91788,1.20948,1.76192,0.00203,0.00203,0.00203
122,1399.69,0.86817,0.6564,1.01748,0.76544,0.69704,0.76247,0.37128,1.79552,1.20029,1.65492,0.00200525,0.00200525,0.00200525
123,1411.26,0.87766,0.63834,1.00622,0.78015,0.68903,0.76808,0.36639,1.78126,1.25116,1.67243,0.0019805,0.0019805,0.0019805
124,1423.89,0.8978,0.65843,1.02539,0.80409,0.71727,0.77131,0.36662,1.78355,1.27953,1.64496,0.00195575,0.00195575,0.00195575
125,1435.04,0.8638,0.67334,1.0232,0.85009,0.69903,0.73429,0.37814,1.7724,1.27732,1.64876,0.001931,0.001931,0.001931
126,1445.59,0.86357,0.66743,1.02071,0.88579,0.67961,0.72942,0.35576,1.83816,1.12503,1.71764,0.00190625,0.00190625,0.00190625
127,1455.73,0.83637,0.6101,0.98793,0.91058,0.65049,0.75369,0.35537,1.89824,1.18109,1.79178,0.0018815,0.0018815,0.0018815
128,1466.18,0.83778,0.62257,1.00235,0.84449,0.66019,0.7344,0.36625,1.85706,1.29739,1.74087,0.00185675,0.00185675,0.00185675
129,1477.75,0.85901,0.59871,1.00926,0.89816,0.64078,0.70654,0.34752,1.85675,1.47236,1.70037,0.001832,0.001832,0.001832
130,1489.31,0.84946,0.60717,1.00495,0.849,0.65508,0.71268,0.34448,1.97293,1.49005,1.80854,0.00180725,0.00180725,0.00180725
131,1500.08,0.85359,0.62401,1.00072,0.91557,0.64078,0.73978,0.36252,1.95059,1.38339,1.82308,0.0017825,0.0017825,0.0017825
132,1511.77,0.86262,0.62245,1.00913,0.88083,0.64591,0.70577,0.34259,1.88902,1.46661,1.74189,0.00175775,0.00175775,0.00175775
133,1522.77,0.80431,0.60056,0.9844,0.86571,0.6885,0.72601,0.35907,1.91929,1.48011,1.77065,0.001733,0.001733,0.001733
134,1533.94,0.87582,0.64863,1.01882,0.89695,0.68932,0.74773,0.37176,1.92919,1.39883,1.77324,0.00170825,0.00170825,0.00170825
135,1545.46,0.78635,0.59549,0.98286,0.86595,0.6699,0.73285,0.35937,1.88614,1.41188,1.78622,0.0016835,0.0016835,0.0016835
136,1556.53,0.81917,0.59565,0.99059,0.83277,0.69903,0.75096,0.37026,1.8624,1.22141,1.76624,0.00165875,0.00165875,0.00165875
137,1567.51,0.80467,0.6009,0.98391,0.8348,0.71845,0.78177,0.38896,1.87444,1.17595,1.79593,0.001634,0.001634,0.001634
138,1578.96,0.80059,0.58373,0.97769,0.89319,0.63107,0.77584,0.38925,1.80476,1.30385,1.72575,0.00160925,0.00160925,0.00160925
139,1589.52,0.78226,0.57223,0.97044,0.81433,0.6813,0.73761,0.36889,1.85122,1.29301,1.72068,0.0015845,0.0015845,0.0015845
140,1601.33,0.7663,0.52849,0.96228,0.82967,0.66019,0.7325,0.37951,1.88124,1.25531,1.75273,0.00155975,0.00155975,0.00155975
141,1614.11,0.79635,0.56102,0.96822,0.8112,0.68932,0.74735,0.38262,1.82707,1.15149,1.73206,0.001535,0.001535,0.001535
142,1625.58,0.82703,0.57672,0.98686,0.83518,0.68932,0.75085,0.38805,1.82599,1.12255,1.71993,0.00151025,0.00151025,0.00151025
143,1636.16,0.83424,0.62539,1.00176,0.81128,0.70951,0.72362,0.36011,1.78171,1.16409,1.71998,0.0014855,0.0014855,0.0014855
144,1647.05,0.78842,0.5897,0.98465,0.83373,0.65049,0.72581,0.36353,1.75649,1.24753,1.70601,0.00146075,0.00146075,0.00146075
145,1657.56,0.78798,0.55702,0.97776,0.87328,0.64078,0.72858,0.3601,1.80373,1.26835,1.7004,0.001436,0.001436,0.001436
