epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.6597,1.41695,1.9642,1.71028,0.80223,0.8072,0.85713,0.57638,1.16688,0.86764,1.43467,0.0702041,0.00331066,0.00331066
2,152.278,1.2646,1.18193,1.5075,0.83872,0.75531,0.83932,0.55124,1.21777,1.11731,1.44061,0.0402035,0.00664343,0.00664343
3,225.606,1.38314,1.34152,1.54764,0.34534,0.4563,0.28124,0.145,1.69875,2.63816,1.82599,0.0102007,0.00997395,0.00997395
4,298.766,1.58999,1.70235,1.70505,0.39151,0.43445,0.31618,0.16039,1.80718,4.60514,1.98754,0.00999239,0.00999239,0.00999239
5,373.217,1.59587,1.68168,1.70575,0.69172,0.47943,0.52385,0.30019,1.70054,2.04096,1.8185,0.00998648,0.00998648,0.00998648
6,449.468,1.52956,1.55584,1.66355,0.83024,0.60797,0.74362,0.46486,1.43733,1.44497,1.59816,0.00997888,0.00997888,0.00997888
7,524.795,1.4999,1.49203,1.62411,0.80857,0.68947,0.78008,0.48597,1.38284,1.42174,1.52069,0.0099696,0.0099696,0.0099696
8,599.941,1.44787,1.38336,1.58433,0.81633,0.72553,0.81541,0.48473,1.43136,1.16813,1.55871,0.00995864,0.00995864,0.00995864
9,675.205,1.41673,1.3383,1.56067,0.85054,0.70951,0.83091,0.52359,1.36436,1.06649,1.49647,0.009946,0.009946,0.009946
10,750.324,1.40256,1.31343,1.54603,0.83887,0.79306,0.86267,0.545,1.31245,0.96542,1.47736,0.00993169,0.00993169,0.00993169
11,827.72,1.38283,1.26382,1.53298,0.866,0.74165,0.85942,0.56025,1.29914,0.987,1.44345,0.00991572,0.00991572,0.00991572
12,903.754,1.35195,1.24116,1.51485,0.846,0.76965,0.85034,0.55993,1.24151,0.99964,1.40676,0.00989808,0.00989808,0.00989808
13,979.552,1.33346,1.20926,1.49688,0.87153,0.76093,0.8648,0.55318,1.29208,0.95575,1.46414,0.00987878,0.00987878,0.00987878
14,1054.68,1.29696,1.14751,1.45978,0.87849,0.77121,0.86841,0.58,1.25601,0.92003,1.41771,0.00985784,0.00985784,0.00985784
15,1131.51,1.27197,1.12725,1.46236,0.87169,0.7365,0.84723,0.55926,1.30138,0.96424,1.42542,0.00983526,0.00983526,0.00983526
16,1206.44,1.27491,1.09786,1.44062,0.89232,0.80953,0.90448,0.59481,1.25115,0.8375,1.38891,0.00981104,0.00981104,0.00981104
17,1282.28,1.25692,1.07764,1.4363,0.87517,0.80463,0.88857,0.57238,1.32422,0.85776,1.4399,0.00978519,0.00978519,0.00978519
18,1357.65,1.25785,1.07953,1.43652,0.88502,0.81234,0.89586,0.61437,1.17413,0.81897,1.33706,0.00975773,0.00975773,0.00975773
19,1433.26,1.23622,1.05927,1.42564,0.87423,0.8072,0.90586,0.61579,1.18015,0.79854,1.36837,0.00972866,0.00972866,0.00972866
