epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.0505,1.47093,2.40342,1.5702,0.87097,0.7809,0.88222,0.56952,1.20604,0.88235,1.30029,0.0694376,0.0026576,0.0026576
2,91.3136,1.30745,1.21725,1.41276,0.83702,0.67991,0.79431,0.48848,1.35723,1.18378,1.36224,0.0387706,0.00532394,0.00532394
3,129.431,1.43333,1.36616,1.47373,0.77552,0.60834,0.70561,0.41651,1.49283,1.40796,1.53018,0.00810236,0.00798898,0.00798898
4,167.259,1.54961,1.57642,1.57675,0.74101,0.6144,0.70186,0.43802,1.46316,1.68978,1.53017,0.0079956,0.0079956,0.0079956
5,205.903,1.5376,1.53322,1.57845,0.82702,0.64526,0.76011,0.45432,1.53168,1.35734,1.5709,0.00799219,0.00799219,0.00799219
6,244.66,1.51497,1.46327,1.55845,0.81637,0.70566,0.80481,0.50569,1.43,1.12983,1.48266,0.00798779,0.00798779,0.00798779
7,283.568,1.46545,1.43552,1.53269,0.81809,0.69366,0.78876,0.49082,1.41067,1.24238,1.47628,0.00798243,0.00798243,0.00798243
8,322.18,1.44175,1.35891,1.50987,0.80533,0.70719,0.80472,0.50606,1.35927,1.19045,1.42753,0.00797609,0.00797609,0.00797609
9,360.726,1.40655,1.3008,1.49158,0.8899,0.74036,0.88042,0.56869,1.30353,0.98371,1.40022,0.00796877,0.00796877,0.00796877
10,399.255,1.36974,1.26435,1.46498,0.8628,0.8083,0.88402,0.55502,1.39659,0.96341,1.42254,0.00796049,0.00796049,0.00796049
11,437.708,1.37064,1.24319,1.4526,0.86117,0.73907,0.8466,0.55694,1.32087,1.06911,1.39999,0.00795125,0.00795125,0.00795125
12,476.655,1.34786,1.20227,1.43866,0.87707,0.79692,0.8934,0.59222,1.26554,0.89482,1.33091,0.00794103,0.00794103,0.00794103
13,515.11,1.33509,1.17756,1.43112,0.84067,0.84833,0.90441,0.60253,1.24258,0.90013,1.32976,0.00792986,0.00792986,0.00792986
14,552.471,1.30663,1.13854,1.40005,0.87928,0.84062,0.91234,0.60998,1.22335,0.82133,1.32222,0.00791772,0.00791772,0.00791772
15,590.565,1.31362,1.1362,1.40913,0.84074,0.7982,0.86903,0.56171,1.27721,0.94455,1.33964,0.00790463,0.00790463,0.00790463
16,629.209,1.2852,1.1275,1.39677,0.87468,0.85219,0.91396,0.63058,1.17439,0.82894,1.29579,0.00789058,0.00789058,0.00789058
17,667.726,1.27968,1.10816,1.39007,0.90835,0.84076,0.91711,0.61346,1.20397,0.78754,1.2948,0.00787559,0.00787559,0.00787559
18,705.338,1.25638,1.06571,1.36404,0.87201,0.8582,0.91409,0.61598,1.19458,0.81238,1.28924,0.00785965,0.00785965,0.00785965
19,744.232,1.24696,1.0602,1.3683,0.87815,0.86118,0.92303,0.63087,1.19141,0.77964,1.28785,0.00784276,0.00784276,0.00784276
20,782.206,1.24799,1.03181,1.35653,0.90415,0.86089,0.9267,0.63196,1.18536,0.76621,1.27697,0.00782494,0.00782494,0.00782494
21,821.088,1.24012,1.04567,1.35675,0.90486,0.88016,0.93388,0.62637,1.18079,0.73531,1.28415,0.00780618,0.00780618,0.00780618
22,859.621,1.21233,1.00378,1.35483,0.91857,0.84961,0.92783,0.6485,1.13649,0.76269,1.2634,0.0077865,0.0077865,0.0077865
23,897.696,1.21208,0.9991,1.33843,0.90481,0.86745,0.92913,0.62807,1.182,0.74562,1.27601,0.00776589,0.00776589,0.00776589
24,936.045,1.20697,0.98146,1.32659,0.87886,0.88046,0.93485,0.65323,1.12174,0.71622,1.26418,0.00774436,0.00774436,0.00774436
25,974.274,1.19525,0.99132,1.33597,0.9086,0.85861,0.93573,0.63894,1.15243,0.7289,1.27662,0.00772191,0.00772191,0.00772191
26,1012.07,1.19079,0.95544,1.3207,0.90152,0.88253,0.94035,0.64107,1.14945,0.70439,1.2572,0.00769856,0.00769856,0.00769856
27,1050.59,1.17498,0.95348,1.31797,0.93922,0.89373,0.94472,0.65682,1.13492,0.68826,1.26096,0.00767431,0.00767431,0.00767431
28,1089.17,1.18563,0.95182,1.32144,0.92646,0.87661,0.93854,0.65079,1.1432,0.69394,1.24323,0.00764916,0.00764916,0.00764916
29,1127.31,1.17107,0.92848,1.30762,0.90762,0.8856,0.94173,0.67004,1.09023,0.68041,1.23664,0.00762312,0.00762312,0.00762312
30,1165.85,1.14924,0.94503,1.29937,0.90557,0.89075,0.94741,0.66743,1.08154,0.68149,1.22755,0.00759619,0.00759619,0.00759619
31,1203.89,1.16329,0.93767,1.3082,0.90201,0.9036,0.95046,0.66602,1.1209,0.66348,1.25389,0.00756839,0.00756839,0.00756839
